benchmark_stage,dataset,storage_device,cache_condition,benchmark_mode,planner_mode,random_count,continuous_count,threads,memory_limit_mb,read_window_bytes,max_gap_bytes,T_read_ms,T_write_ms,T_total_ms,bytes_written,max_abs_error,relative_error_max,mismatch_count,repeat_id
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
final,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,64964,0,65410,7484488440,0,0,0,1
