method,io_backend,sb_parallel_mode,axis,mode,count,avg_time_ms,min_time_ms,max_time_ms,total_time_ms,output_bytes
erwt3d,sb-contest,serial,x,random,100,198.212,198.212,198.212,65410.114,26412000
erwt3d,sb-contest,serial,y,random,100,198.212,198.212,198.212,65410.114,24012000
erwt3d,sb-contest,serial,z,random,100,198.212,198.212,198.212,65410.114,17616804
erwt3d,sb-contest,serial,x,continuous,10,198.212,198.212,198.212,65410.114,26412000
erwt3d,sb-contest,serial,y,continuous,10,198.212,198.212,198.212,65410.114,24012000
erwt3d,sb-contest,serial,z,continuous,10,198.212,198.212,198.212,65410.114,17616804
