metric,value
bytes_total_file,55197040896
superblocks_total,52640
superblock_bytes,1048576
storage_ratio,1.044
T_read_ms,64964
T_write_ms,0
T_total_ms,65410
per_slice_ms,198.21
output_files,330
write_mode,none
checksum,366a3b122dce6941
