axis,mode,iteration,index,time_ms,output_bytes,io_backend,threads,cache_mb,memory_limit_mb,sb_parallel_mode
x,random,0,115,198.212,26412000,sb-contest,8,0,16384,serial
x,random,1,541,198.212,26412000,sb-contest,8,0,16384,serial
x,random,2,1173,198.212,26412000,sb-contest,8,0,16384,serial
x,random,3,481,198.212,26412000,sb-contest,8,0,16384,serial
x,random,4,346,198.212,26412000,sb-contest,8,0,16384,serial
x,random,5,1722,198.212,26412000,sb-contest,8,0,16384,serial
x,random,6,1692,198.212,26412000,sb-contest,8,0,16384,serial
x,random,7,652,198.212,26412000,sb-contest,8,0,16384,serial
x,random,8,553,198.212,26412000,sb-contest,8,0,16384,serial
x,random,9,1324,198.212,26412000,sb-contest,8,0,16384,serial
x,random,10,326,198.212,26412000,sb-contest,8,0,16384,serial
x,random,11,1349,198.212,26412000,sb-contest,8,0,16384,serial
x,random,12,1727,198.212,26412000,sb-contest,8,0,16384,serial
x,random,13,936,198.212,26412000,sb-contest,8,0,16384,serial
x,random,14,1661,198.212,26412000,sb-contest,8,0,16384,serial
x,random,15,1606,198.212,26412000,sb-contest,8,0,16384,serial
x,random,16,1907,198.212,26412000,sb-contest,8,0,16384,serial
x,random,17,1574,198.212,26412000,sb-contest,8,0,16384,serial
x,random,18,407,198.212,26412000,sb-contest,8,0,16384,serial
x,random,19,1379,198.212,26412000,sb-contest,8,0,16384,serial
x,random,20,454,198.212,26412000,sb-contest,8,0,16384,serial
x,random,21,529,198.212,26412000,sb-contest,8,0,16384,serial
x,random,22,1486,198.212,26412000,sb-contest,8,0,16384,serial
x,random,23,1941,198.212,26412000,sb-contest,8,0,16384,serial
x,random,24,1721,198.212,26412000,sb-contest,8,0,16384,serial
x,random,25,590,198.212,26412000,sb-contest,8,0,16384,serial
x,random,26,1660,198.212,26412000,sb-contest,8,0,16384,serial
x,random,27,1894,198.212,26412000,sb-contest,8,0,16384,serial
x,random,28,1391,198.212,26412000,sb-contest,8,0,16384,serial
x,random,29,1957,198.212,26412000,sb-contest,8,0,16384,serial
x,random,30,0,198.212,26412000,sb-contest,8,0,16384,serial
x,random,31,651,198.212,26412000,sb-contest,8,0,16384,serial
x,random,32,1029,198.212,26412000,sb-contest,8,0,16384,serial
x,random,33,997,198.212,26412000,sb-contest,8,0,16384,serial
x,random,34,433,198.212,26412000,sb-contest,8,0,16384,serial
x,random,35,252,198.212,26412000,sb-contest,8,0,16384,serial
x,random,36,451,198.212,26412000,sb-contest,8,0,16384,serial
x,random,37,877,198.212,26412000,sb-contest,8,0,16384,serial
x,random,38,1833,198.212,26412000,sb-contest,8,0,16384,serial
x,random,39,512,198.212,26412000,sb-contest,8,0,16384,serial
x,random,40,1874,198.212,26412000,sb-contest,8,0,16384,serial
x,random,41,1520,198.212,26412000,sb-contest,8,0,16384,serial
x,random,42,1399,198.212,26412000,sb-contest,8,0,16384,serial
x,random,43,245,198.212,26412000,sb-contest,8,0,16384,serial
x,random,44,1440,198.212,26412000,sb-contest,8,0,16384,serial
x,random,45,1545,198.212,26412000,sb-contest,8,0,16384,serial
x,random,46,528,198.212,26412000,sb-contest,8,0,16384,serial
x,random,47,290,198.212,26412000,sb-contest,8,0,16384,serial
x,random,48,872,198.212,26412000,sb-contest,8,0,16384,serial
x,random,49,1182,198.212,26412000,sb-contest,8,0,16384,serial
x,random,50,1595,198.212,26412000,sb-contest,8,0,16384,serial
x,random,51,1544,198.212,26412000,sb-contest,8,0,16384,serial
