tile_x,tile_y,tile_z,erwt3d_size_bytes,storage_ratio,tiles_total,T_no_write_20G_ms,T_no_write_50G_ms,notes
64,64,64,20719862016,1.075,19760,37500,94000,baseline; linear and Morton3D same speed
32,32,32,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,needs conversion + benchmark
16,16,16,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,
128,32,32,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,
32,128,32,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,
32,32,128,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,
