axis,mode,superblocks_touched,pread_calls,bytes_read_MB,contiguous_run_count,avg_run_bytes,avg_run_superblocks,max_run_bytes,read_wall_ms,unpack_ms,write_ms,notes
x,random,1520,1520,1593.8,1520,1.05,1,1.05,~650,~5,~10,no contiguous runs in X-slice Morton layout
y,random,1504,1504,1577.1,1504,1.05,1,1.05,~500,~4,~9,--
z,random,1120,1120,1174.4,38,30.9,29.5,0,~400,~3,~7,Z-slice benefits most from run-batching potential
