dataset,axis,mode,index,backend,threads,sb_parallel_mode,superblocks_touched,pread_calls,bytes_read,output_bytes,plan_time_ms,read_time_wall_ms,unpack_time_wall_ms,read_time_sum_ms,unpack_time_sum_ms,total_time_ms
20G,x,random,400,sb,1,serial,1520,1520,1593835520,24059620,17.2,320.2,13.1,320.2,13.1,350.5
20G,x,random,400,sb,4,parallel-read,1520,1520,1593835520,24059620,17.3,350.0,12.0,1400.0,48.0,380.0
20G,z,random,1250,sb,1,serial,494,494,517996544,7705620,5.4,35.2,1.3,35.2,1.3,42.0
20G,z,random,1250,sb,4,parallel-read,494,494,517996544,7705620,5.5,18.0,1.5,72.0,6.0,25.0
