dataset,dataset_path,storage_device,cache_condition,device_profile,strategy,read_mode,task_order,read_window_bytes,max_gap_bytes,benchmark_count,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,storage_ratio,notes
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,cold,hdd-max,SB baseline,pread,logical,0,0,20+5,8,8192,5076.79,1765.51,1657.95,2833.42,5125.56,1585.30,1507.15,2739.34,2786.38,1.075,SB serial pread baseline (1 thread,serial mode)
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,warm,hdd-max,SB file-offset,pread,file-offset,0,0,20+5,8,8192,4891.11,1722.43,1616.09,2743.21,5094.68,1549.48,1452.18,2698.78,2721.00,1.075,sort tasks by physical file offset
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,warm,hdd-max,SB parallel-read,pread,logical,0,0,20+5,8,8192,2543.44,769.41,892.54,1401.80,2183.95,761.45,707.77,1217.72,1309.76,1.075,8-thread parallel pread over superblocks
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,warm,hdd-max,SB run-batch,run-batch,logical,0,0,20+5,8,8192,2501.14,744.74,1892.37,1712.75,2817.90,755.04,1760.95,1777.96,1745.36,1.075,batch contiguous SB runs
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,warm,hdd-max,HDD read-window 4MB,hdd-read-window,logical,4194304,0,20+5,8,8192,2405.71,905.24,723.64,1344.87,2860.64,743.40,704.17,1436.07,1390.47,1.075,large read windows 4MB/0gap
cup_3d_small,/mnt/d/CUP/cup_3d_small.erwt3d,hdd,warm,hdd-max,HDD read-window 16MB/64K,hdd-read-window,logical,16777216,65536,20+5,8,8192,2399.30,895.66,707.12,1334.03,2293.70,1342.15,708.28,1448.04,1391.03,1.075,large read windows 16MB/64K gap
