dataset,axis,test,max_abs_error,max_rel_error,num_failed,passed,verify_method,notes
test_all,x,serial_sb,0,0,0,true,direct comparison,all 7 test dimensions pass
test_all,y,serial_sb,0,0,0,true,direct comparison,all 7 test dimensions pass
test_all,z,serial_sb,0,0,0,true,direct comparison,all 7 test dimensions pass
test_all,x,parallel_vs_serial,0,0,0,true,separate buffers,t=2,4,8 all match
test_all,y,parallel_vs_serial,0,0,0,true,separate buffers,t=2,4,8 all match
test_all,z,parallel_vs_serial,0,0,0,true,separate buffers,t=2,4,8 all match
test_all,x,wrapper_vs_generic,0,0,0,true,separate buffers,readLineX == readLine(X)
test_all,y,wrapper_vs_generic,0,0,0,true,separate buffers,readLineY == readLine(Y)
test_all,z,wrapper_vs_generic,0,0,0,true,separate buffers,readLineZ == readLine(Z)
