dataset,threads,memory_limit_mb,random_count,cont_count,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,notes
20G,1,8192,20,5,1648.80,121.78,114.25,628.28,449.21,133.04,141.05,241.10,426.83,baseline serial; reduced counts
20G,2,8192,20,5,209.13,55.51,50.31,104.99,118.84,50.89,51.40,73.71,84.16,reduced counts
20G,4,8192,20,5,127.60,42.92,39.21,69.91,85.84,37.33,38.31,53.83,68.88,reduced counts; near optimal
20G,6,8192,20,5,121.61,37.08,35.22,64.63,69.01,30.69,35.09,44.93,61.33,reduced counts; best T_total
20G,8,8192,20,5,123.99,43.77,41.60,69.79,81.35,40.23,42.72,54.77,65.46,reduced counts
20G,12,8192,20,5,142.33,50.55,42.77,78.55,90.05,45.18,53.71,62.98,77.31,reduced counts; HT hurts
20G,16,8192,20,5,153.40,52.15,47.22,84.26,99.97,54.26,58.12,70.78,88.15,reduced counts
20G,24,8192,20,5,251.17,84.28,70.57,135.34,115.05,72.08,67.69,84.94,110.38,reduced counts
