dataset,axis,mode,panel_stride,total_slices,panel_hits,panel_misses,panel_hit_rate,avg_time_hit_ms,avg_time_miss_ms,avg_bytes_read_hit,avg_bytes_read_miss,notes
50G,x,random,4,100,24,76,0.24,109.9,885.5,38928384,1593835520,24% hit rate matches theoretical 25%; miss bytes = 1520*1MiB; hit bytes = 1520*16KiB
50G,x,continuous,4,10,5,5,0.50,0,0,38928384,1593835520,continuous slices hit 50% due to aligned stride-4 indices
