benchmark_stage,strategy,benchmark_mode,dataset,random_count,continuous_count,repeat_id,total_wall_time_ms,avg_per_slice_ms,max_abs_error,mismatch_count,notes
smoke,SB parallel-read,single_slice_latency,20G_small,3,1,1,1605.61,133.80,0,0,reference baseline
smoke,SB parallel-read,single_slice_latency,20G_small,3,1,2,1453.07,121.09,0,0,warm cache
smoke,SB parallel-read,single_slice_latency,20G_small,3,1,3,1522.90,126.91,0,0,warm cache
smoke,HDD read-window,single_slice_latency,20G_small,3,1,1,1389.25,115.77,0,0,stable HDD strategy
smoke,HDD read-window,single_slice_latency,20G_small,3,1,2,1570.78,130.90,0,0,warm cache
smoke,HDD read-window,single_slice_latency,20G_small,3,1,3,1424.54,118.71,0,0,warm cache
smoke,HDD batch planner,batch_throughput,20G_small,3,1,1,1509.15,125.76,0,0,experimental batch mode
smoke,HDD batch planner,batch_throughput,20G_small,3,1,2,1309.02,109.09,0,0,experimental batch mode
smoke,HDD batch planner,batch_throughput,20G_small,3,1,3,1514.74,126.23,0,0,experimental batch mode
