dataset,dataset_path,storage_device,cache_condition,device_profile,strategy,read_mode,benchmark_count,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,storage_ratio,bytes_read_X_MB,bytes_read_Y_MB,bytes_read_Z_MB,pread_calls_X,pread_calls_Y,pread_calls_Z,measured,comparable_to_current_best,notes
20G,/mnt/f/CUP/cup_3d_small_nopanel.erwt3d,ssd,cold,ssd-max,SB baseline (dynamic),pread,100+10,8,8192,4193.61,1418.64,1313.06,2308.44,3699.43,1476.90,1034.99,2070.44,2189.44,1.075,1593.8,545.3,518.0,1520,520,494,true,true,Full 100+10 confirms SB baseline performance
20G,/mnt/f/CUP/cup_3d_small_xpanel4.erwt3d,ssd,cold,ssd-max,X-panel s4 (dynamic),pread,100+10,8,8192,3226.75,1457.49,1352.63,2012.29,2827.24,1558.61,1239.82,1875.22,1943.76,1.344,1208.7,545.3,518.0,1520,520,494,true,true,Full 100+10: X-panel 12.6% faster T_total vs SB baseline; X-axis 30% faster
