dataset,dataset_path,storage_device,cache_condition,device_profile,strategy,read_mode,task_order,read_window_bytes,max_gap_bytes,benchmark_count,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,storage_ratio,notes
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,cold,hdd-max,SB baseline,pread,logical,0,0,20+5,8,8192,15974.24,7047.82,4255.83,9092.63,6586.99,4914.55,4137.92,5213.15,7152.89,1.044,SB serial pread baseline (1 thread)
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,hdd-max,SB file-offset,pread,file-offset,0,0,20+5,8,8192,5302.14,4669.64,3620.92,4530.90,5358.58,5053.89,3330.01,4580.83,4555.86,1.044,sort tasks by physical file offset
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,hdd-max,SB parallel-read,pread,logical,0,0,20+5,8,8192,2689.82,2501.19,1784.53,2325.18,2419.54,2769.27,1675.45,2288.08,2306.63,1.044,8-thread parallel pread
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,hdd-max,SB run-batch,run-batch,logical,0,0,20+5,8,8192,2604.10,2501.62,4403.79,3169.84,3134.35,2248.89,5067.21,3483.48,3326.66,1.044,batch contiguous SB runs
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,hdd-max,HDD read-window 4MB,hdd-read-window,logical,4194304,0,20+5,8,8192,2610.18,2459.29,1757.60,2275.69,2457.77,2255.58,2246.73,2320.03,2297.86,1.044,large read windows 4MB/0gap
cup_3d_big,/mnt/d/CUP/cup_3d_big.erwt3d,hdd,warm,hdd-max,HDD read-window 16MB/64K,hdd-read-window,logical,16777216,65536,20+5,8,8192,2642.62,2364.16,1781.77,2262.85,3093.23,2163.22,1626.41,2294.28,2278.57,1.044,large read windows 16MB/64K gap
