dataset,benchmark_count,threads,config,T_total,cpu_util_avg,cpu_util_max,user_time_sec,sys_time_sec,iowait_avg,context_switches,major_faults,disk_read_MBps,disk_write_MBps,measured,notes
20G,100+10,8,sb-parallel-read+t8,68,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,false,true measured values pending perf/pidstat profiling
50G,100+10,8,sb-parallel-read+t8,315,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,estimated,false,true measured values pending
