test,dataset,tile_shape,tile_order,max_abs_error,relative_error_max,mismatch_count,verified_against,notes
synthetic_rw,128^3 synth,64,morton3d,0,0,0,linear,Synthetic: X/Y/Z 0/mid/last all match
20G_bench,20G small,64,morton3d,NOT_BENCHMARKED,NOT_BENCHMARKED,NOT_BENCHMARKED,linear,File naming differs between benchmark runs; need same-seed comparison
