rank,strategy,status,benchmark_mode,dataset,per_slice_ms,relative_performance,recommendation
1,Contest global all-axis batch,STABLE_CONTEST_DEFAULT,contest_batch_throughput,50G_big,481ms,27pct faster than per-axis batch,"--mode contest (default for 50G/TB-scale)"
2,Contest global all-axis batch,COMPETITIVE,contest_batch_throughput,20G_small,216ms,similar to per-axis batch (231ms),"--mode contest (choose faster of global vs per-axis)"
3,Per-axis batch planner (PR #34),COMPETITIVE,batch_throughput,20G_small,231ms,similar to contest global,"--hdd-batch-planner on (best for 20G per-axis)"
4,HDD read-window (PR #34),STABLE,single_slice_latency,all,1467-2279ms,stable single-slice default,"--sb-read-mode hdd-read-window"
