dataset,read_mode,benchmark_count,threads,leaf_merge_bytes,T_total_ms,storage_ratio,bytes_read_est_MB,dataset_path,storage_device,cache_condition,comparable_to_current_best,measured,notes
50G,pread,100+10,8,0,315,1.044,1725,/home/yuan/code/ERWT3D/CUP/cup_3d_big.erwt3d,ssd,warm,true,true,current best baseline (from #21)
50G,leaf-index,not run,,,,,,,not run,deferred,false,requires same-device SSD benchmark
