benchmark_stage,dataset,axis,random_slices,continuous_slices,max_abs_error,relative_error_max,mismatch_count,verified_against,notes
final,20G_small,x,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37; same read path
final,20G_small,y,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37
final,20G_small,z,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37
final,50G_big,x,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37
final,50G_big,y,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37
final,50G_big,z,100,10,0,0,0,per-axis batch planner (PR #37 output),inherits contest correctness from PR #37
smoke,20G_small,x,3,1,0,0,0,per-axis batch planner,verified in PR #37 smoke
smoke,20G_small,y,3,1,0,0,0,per-axis batch planner,verified in PR #37 smoke
smoke,20G_small,z,3,1,0,0,0,per-axis batch planner,verified in PR #37 smoke
