dataset,dataset_path,storage_device,cache_condition,device_profile,strategy,read_mode,benchmark_count,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,storage_ratio,bytes_read_X_MB,bytes_read_Y_MB,bytes_read_Z_MB,pread_calls_X,pread_calls_Y,pread_calls_Z,measured,comparable_to_current_best,notes
50G,/mnt/f/CUP/cup_3d_big_nopanel.erwt3d,ssd,cold,ssd-max,SB baseline (static),pread,20+5,8,8192,4549.20,3735.06,2583.32,3622.53,4312.21,3354.89,3044.37,3570.49,3596.51,1.044,1724.9,1577.1,1174.4,1645,1504,1120,true,true,Current production baseline for 50G SSD
50G,/mnt/f/CUP/cup_3d_big_nopanel.erwt3d,ssd,cold,ssd-max,Leaf-index 16KB,leaf-index,20+5,8,8192,25497.84,11734.47,4541.75,13924.69,25215.30,11907.02,4607.42,13909.91,13917.30,1.044,105.8,96.2,70.7,413250,188250,69551,true,false,Leaf-index 3.87x worse T_total; HDD-optimized strategy rejected on SSD
50G,/mnt/f/CUP/cup_3d_big_nopanel.erwt3d,ssd,cold,ssd-max,Leaf-index 64KB,leaf-index,20+5,8,8192,24833.52,11329.18,3655.52,13272.74,17664.42,9718.51,4739.16,10707.36,11990.05,1.044,105.8,96.2,70.7,413250,188250,69551,true,false,Leaf-index 64K 3.33x worse T_total
