dataset,config,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,random_balance,cont_balance,notes
syn256,erwt3d_pread_t1,4.38,2.22,1.39,2.66,3.81,2.24,1.32,2.46,2.56,3.15,2.89,synthetic 256^3
syn256,erwt3d_sb_t1,2.17,2.01,2.06,2.08,2.64,2.08,1.83,2.18,2.13,1.08,1.44,synthetic 256^3
syn256,raw_baseline,19.12,0.70,0.49,6.77,20.08,0.43,0.75,7.09,6.93,39.02,46.70,synthetic 256^3
official20,erwt3d_sb_t1,373.49,149.11,198.53,240.38,422.79,179.08,170.20,257.35,248.87,2.50,2.48,official 20G (801x2405x2501)
official20,erwt3d_pread_t1,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,official 20G; timed out after 10min
official20,raw_baseline,6425.80,150.55,5.88,2194.08,2488.21,8.55,6.19,834.32,1514.20,1093.16,401.98,official 20G (20+5 reduced)
official50,erwt3d_sb_t1,2158.77,940.70,531.76,1210.41,298.95,513.18,177.40,329.84,770.13,4.06,2.89,official 50G (2001x2201x3000)
