dataset,benchmark_count,threads,config,T_total,user_time_sec,sys_time_sec,cpu_pct,wall_sec,max_rss_kb,minor_faults,major_faults,vol_ctx_sw,invol_ctx_sw,fs_inputs,fs_outputs,tool,notes
20G,5+2,8,dynamic+X-panel,1.20wall,0.61,7.37,660,1.20,70312,33426,0,412,86,544K,930K,time -v,dynamic schedule; 7.4s sys time from preads
50G,5+2,8,static,23.86wall,0.94,13.15,59,23.86,76072,35860,0,18458,218,34.8M,930K,time -v,static schedule; 13.2s sys time; 34.8M fs inputs confirms massive I/O
