dataset,backend,threads,sb_parallel_mode,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,random_balance,cont_balance,random_count,cont_count,notes
20G,sb,1,serial,725.72,106.11,84.88,305.57,147.10,48.36,46.86,80.77,193.17,8.55,3.14,20,5,baseline serial
20G,sb,4,parallel-read,310.46,79.17,68.96,152.86,122.87,40.37,38.20,67.15,110.00,4.50,3.22,20,5,1.75x vs serial
20G,sb,8,parallel-read,108.16,34.49,33.48,58.71,103.16,34.71,33.19,57.02,57.86,3.23,3.11,20,5,3.34x vs serial
20G,sb,8,parallel-read,155.24,44.79,40.42,80.15,118.53,42.61,36.75,65.96,73.06,3.84,3.22,100,10,full benchmark
50G,sb,1,serial,2158.77,940.70,531.76,1210.41,298.95,513.18,177.40,329.84,770.13,4.06,2.89,100,10,previous best serial
50G,sb,8,parallel-read,1610.20,1436.94,726.62,1257.92,274.54,289.95,81.23,215.24,736.58,2.22,3.57,20,5,reduced counts
50G,sb,8,parallel-read,498.64,563.37,377.45,479.82,133.83,148.63,79.39,120.61,300.22,1.32,1.87,100,10,full benchmark
