dataset,dataset_path,storage_device,cache_condition,device_profile,strategy,read_mode,benchmark_count,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,storage_ratio,bytes_read_X_MB,bytes_read_Y_MB,bytes_read_Z_MB,pread_calls_X,pread_calls_Y,pread_calls_Z,measured,comparable_to_current_best,notes
20G,/mnt/f/CUP/cup_3d_small_nopanel.erwt3d,ssd,cold,ssd-max,SB baseline (dynamic),pread,20+5,8,8192,2976.99,946.62,1014.80,1646.14,2702.60,935.41,889.15,1509.05,1577.59,1.075,1593.8,545.3,518.0,1520,520,494,true,true,Current production baseline for 20G SSD
20G,/mnt/f/CUP/cup_3d_small_xpanel4.erwt3d,ssd,cold,ssd-max,X-panel s4 (dynamic),pread,20+5,8,8192,2660.20,1060.50,1067.29,1596.00,2553.66,1033.18,1277.05,1621.30,1608.65,1.344,1280.0,545.3,518.0,1520,520,494,true,true,X-panel helps X-axis 11% vs SB baseline; storage 1.344x
20G,/mnt/f/CUP/cup_3d_small_nopanel.erwt3d,ssd,cold,ssd-max,Leaf-index 16KB,leaf-index,20+5,8,8192,12312.82,1852.96,862.06,5009.28,12223.44,1728.34,851.84,4934.54,4971.91,1.075,96.5,32.2,31.0,376852,63226,30702,true,false,Leaf-index 3.15x worse T_total; 16x fewer bytes but 248x more pread calls kills SSD perf
20G,/mnt/f/CUP/cup_3d_small_nopanel.erwt3d,ssd,cold,ssd-max,Leaf-index 64KB,leaf-index,20+5,8,8192,11225.94,1847.19,990.64,4687.93,10788.24,2272.83,861.06,4640.71,4664.32,1.075,96.5,32.2,31.0,376852,63226,30702,true,false,Leaf-index 64K 2.96x worse T_total; slightly better than 16K but still far behind SB
