benchmark_stage,dataset,storage_device,cache_condition,benchmark_mode,planner_mode,random_count,continuous_count,threads,memory_limit_mb,read_window_bytes,max_gap_bytes,T_read_ms,T_write_ms,T_total_ms,per_slice_ms,cold_mean_total,warm_mean_total,cold_std,warm_std,max_abs_error,relative_error_max,mismatch_count,notes
final,20G_small,hdd,cold,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,136023,32665,168688,511.18,168688,N/A,N/A,N/A,0,0,0,cold cache: first run after boot
final,20G_small,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,38012,34389,72400,219.40,N/A,71316,N/A,167,0,0,0,warm repeat 2
final,20G_small,hdd,warm,contest_batch_throughput,global_all_axis,100,10,8,16384,33554432,262144,37449,32784,70232,212.82,N/A,71316,N/A,167,0,0,0,warm repeat 3
