dataset,run,benchmark_count,T_total,T_x_random,cache_condition,measured,notes
20G,1,20+5,160.85,~900,cold,true,cold-cache first run
20G,2,20+5,53.70,~130,warm,true,warm-cache after first run populates page cache
20G,3,100+10,67.68,141.55,warm,true,full official benchmark (issue #21)
50G,1,100+10,314.94,530.73,warm,true,full official benchmark (issue #21)
50G,2,10+3,~100,~130,warm,true,reduced counts warm-cache
