dataset,axis,mode,avg_read_ms,avg_write_ms,write_percent,output_bytes,measured
20G,x,random,150.0,10.0,6.7,24059620,true
20G,y,random,45.0,3.5,7.8,8013204,true
20G,z,random,40.0,3.5,8.8,7705620,true
20G,x,cont,100.0,10.0,10.0,24059620,true
20G,y,cont,35.0,3.5,10.0,8013204,true
20G,z,cont,32.0,3.5,11.0,7705620,true
