dataset,threads,memory_limit_mb,T_x_random,T_y_random,T_z_random,T_random_avg,T_x_cont,T_y_cont,T_z_cont,T_cont_avg,T_total,notes
50G,1,8192,2468.66,1182.69,917.23,1522.86,255.67,238.45,175.96,223.36,970.04,baseline serial
50G,2,8192,468.73,147.97,136.20,250.97,154.97,127.54,96.94,126.48,257.97,2x helps significantly
50G,4,8192,118.96,54.73,59.30,77.66,86.12,57.13,54.88,66.04,110.96,best T_x_random
50G,6,8192,123.01,55.56,49.93,76.17,206.79,60.86,58.00,108.55,196.17,HT overhead visible
50G,8,8192,133.15,64.93,55.28,84.45,99.91,63.40,55.70,73.01,108.00,best T_total
50G,12,8192,149.99,61.98,55.71,89.23,119.44,68.51,63.94,83.96,119.09,HT hurts
